56,76.9,Ja Morant,PG,MEM,48,32.1,"0.474

(9.6/20.2)","0.754

(5.8/7.7)",1.5,26.5,5.8,7.1,1.1,0.3,3.4,3.59
57,60.7,Bradley Beal,"PG,SG",PHO,62,33.6,"0.478

(7.6/16.0)","0.838

(3.9/4.7)",1.6,20.8,4.2,5.7,0.9,0.5,3.1,3.56
58,55.9,Jarrett Allen,C,CLE,60,32.0,"0.660

(5.7/8.7)","0.718

(2.4/3.4)",0.0,13.9,9.6,1.5,0.7,1.2,1.4,3.54
59,60.4,Alperen Sengün,C,HOU,74,30.1,"0.545

(6.0/11.0)","0.720

(3.1/4.3)",0.5,15.6,9.1,4.0,1.0,1.0,2.8,3.49
60,68.3,Franz Wagner,"SG,SF,PF",ORL,78,33.1,"0.486

(6.8/13.9)","0.860

(3.6/4.2)",1.7,18.8,4.6,3.6,1.1,0.3,2.0,3.46
61,70.5,Cameron Johnson,"SF,PF",BKN,68,31.9,"0.464

(5.5/11.9)","0.849

(2.2/2.6)",3.0,16.2,5.0,2.0,1.3,0.3,0.9,3.41
62,102.1,Daniel Gafford,PF,WAS,76,28.8,"0.712

(5.3/7.4)","0.688

(2.2/3.1)",0.0,12.8,7.8,1.4,0.6,1.7,1.4,3.40
63,66.7,Anfernee Simons,"PG,SG",POR,65,35.0,"0.441

(8.3/18.9)","0.891

(2.9/3.2)",3.7,23.2,2.9,5.4,0.7,0.2,2.2,3.34
64,69.5,Devin Vassell,"SG,SF",SA,69,32.0,"0.433

(6.5/15.1)","0.823

(2.4/2.9)",2.9,18.3,4.3,3.8,1.2,0.6,1.2,3.34
65,68.1,Brook Lopez,C,MIL,72,29.7,"0.517

(5.2/10.0)","0.792

(1.6/2.0)",1.5,13.5,5.9,1.0,0.4,2.0,1.2,3.32
66,105.2,Onyeka Okongwu,C,ATL,76,26.0,"0.655

(4.4/6.7)","0.763

(2.2/2.8)",0.0,11.0,8.0,1.2,0.8,1.5,1.2,3.31
67,65.2,Jalen Williams,"SG,SF",OKC,74,31.9,"0.521

(5.9/11.2)","0.811

(2.2/2.7)",1.0,15.0,4.8,3.5,1.5,0.5,1.7,3.20
68,95.7,Mark Williams,C,CHA,70,28.4,"0.637

(5.2/8.2)","0.692

(2.2/3.2)",0.0,12.6,9.9,0.6,0.9,1.4,1.3,3.12
69,53.5,Julius Randle,PF,NY,74,35.4,"0.452

(7.9/17.5)","0.756

(4.8/6.3)",2.3,22.9,10.0,4.7,0.7,0.4,3.1,3.00
70,125.5,Josh Hart,"SG,SF",NY,74,32.0,"0.516

(4.3/8.3)","0.753

(2.2/3.0)",1.0,11.8,7.5,3.9,1.4,0.5,1.8,2.89
71,70.2,Tyler Herro,"PG,SG",MIA,67,34.0,"0.443

(7.6/17.1)","0.896

(2.8/3.1)",2.9,20.8,5.3,4.2,0.7,0.2,2.5,2.77
